customer_id,total_payment_180d,total_loss_180d,net_ltv_180d
2327,3251.13,0,3251.13
2965,2809.79,0,2809.79
5002,2488.52,0,2488.52
7604,2129.73,0,2129.73
319,2118.62,0,2118.62
123,2095.29,0,2095.29
5987,2053.66,0,2053.66
1393,2046.76,0,2046.76
684,2046.41,0,2046.41
6542,2039.55,0,2039.55
1189,2016.68,0,2016.68
2988,1977.47,0,1977.47
1793,1962.41,0,1962.41
7302,1956.18,0,1956.18
8693,1955.90,0,1955.90
5945,1940.41,0,1940.41
2175,1936.31,0,1936.31
5806,1912.91,0,1912.91
1244,1908.78,0,1908.78
6227,1895.82,0,1895.82
6638,1892.42,0,1892.42
143,1876.81,0,1876.81
10284,1868.88,0,1868.88
2179,1859.94,0,1859.94
137,1848.22,0,1848.22
5573,1838.90,0,1838.90
3624,1834.95,0,1834.95
530,1833.92,0,1833.92
8081,1833.66,0,1833.66
1841,1833.56,0,1833.56
56,1817.99,0,1817.99
2483,1764.57,0,1764.57
3452,1762.02,0,1762.02
5409,1754.04,0,1754.04
1408,1726.31,0,1726.31
7189,1708.87,0,1708.87
1425,1706.12,0,1706.12
7897,1702.08,0,1702.08
4699,1684.18,0,1684.18
1012,1680.09,0,1680.09
10194,1678.57,0,1678.57
5861,1665.65,0,1665.65
2415,1650.02,0,1650.02
7461,1632.69,0,1632.69
7293,1628.98,0,1628.98
6805,1628.40,0,1628.40
7187,1621.57,0,1621.57
3414,1620.00,0,1620.00
11215,1618.61,0,1618.61
5428,1614.70,0,1614.70
7512,1612.57,0,1612.57
6079,1609.04,0,1609.04
1446,1606.96,0,1606.96
4997,1602.72,0,1602.72
1334,1595.58,0,1595.58
2094,1590.40,0,1590.40
32,1589.65,0,1589.65
4088,1588.59,0,1588.59
655,1583.61,0,1583.61
1077,1582.01,0,1582.01
4060,1577.10,0,1577.10
930,1571.62,0,1571.62
777,1567.69,0,1567.69
298,1564.86,0,1564.86
2868,1563.39,0,1563.39
6732,1562.09,0,1562.09
2427,1558.49,0,1558.49
2503,1555.60,0,1555.60
1677,1552.17,0,1552.17
4346,1537.36,0.00,1537.36
1284,1534.75,0,1534.75
11038,1532.55,0,1532.55
1983,1527.04,0,1527.04
3938,1516.44,0,1516.44
4595,1516.27,0,1516.27
5127,1503.36,0,1503.36
3192,1501.68,0,1501.68
171,1500.97,0,1500.97
5034,1498.92,0,1498.92
4385,1488.80,0,1488.80
4518,1486.45,0,1486.45
4258,1482.44,0,1482.44
1240,1479.20,0,1479.20
4061,1476.85,0,1476.85
12410,1475.80,0,1475.80
5680,1466.18,0,1466.18
1538,1465.83,0,1465.83
10941,1464.32,0,1464.32
48,1462.97,0,1462.97
8716,1462.22,0,1462.22
1659,1460.16,0,1460.16
3955,1460.10,0,1460.10
4109,1455.17,0,1455.17
10366,1452.80,0,1452.80
