application_id,customer_id,application_date,decision,approved_amount,decision_score,reason_code
1,15,2023-01-30,approved,1184.2096268469295,706,
2,10,2023-01-05,approved,447.1576711027607,711,
3,34,2023-01-17,declined,,599,high_risk_score
4,43,2023-01-30,approved,561.1749530969445,709,
5,22,2023-01-16,approved,275.0186966570002,694,
6,15,2023-01-26,approved,1072.4012916665354,778,
7,18,2023-01-23,approved,640.8522337310075,742,
8,39,2023-01-20,approved,420.4535125361208,671,
9,1,2023-01-25,approved,572.7657214416124,800,
10,4,2023-01-06,approved,1541.1879040054982,764,
11,6,2023-01-25,declined,,660,thin_file_proxy
12,42,2023-01-26,approved,1037.786184753348,756,
13,25,2023-01-15,approved,1252.459458072648,649,
14,8,2023-01-11,approved,837.0215323060021,697,
15,25,2023-01-03,approved,606.5117065257061,694,
16,23,2023-01-12,approved,599.3953286393901,636,
17,21,2023-01-29,declined,,632,high_dti_proxy
18,24,2023-01-15,approved,747.6110098333413,689,
19,43,2023-01-31,approved,900.4219528410608,700,
20,4,2023-01-27,approved,1387.2415753154908,728,
21,20,2023-01-13,declined,,672,thin_file_proxy
22,16,2023-01-04,declined,,628,thin_file_proxy
23,19,2023-01-20,approved,917.2861160487015,759,
24,74,2023-02-13,approved,1505.554051983504,710,
25,69,2023-02-24,approved,2096.4681554709086,733,
26,11,2023-02-16,approved,682.8200629208841,664,
27,51,2023-02-05,approved,695.3020608692365,717,
28,74,2023-02-11,approved,1197.3435360136377,761,
29,40,2023-02-19,approved,415.10943789439006,727,
30,50,2023-02-18,declined,,671,thin_file_proxy
31,60,2023-02-01,declined,,614,thin_file_proxy
32,24,2023-02-13,approved,681.4304236045875,711,
33,75,2023-02-23,declined,,636,thin_file_proxy
34,43,2023-02-19,declined,,597,high_risk_score
35,59,2023-02-16,declined,,630,thin_file_proxy
36,55,2023-02-27,approved,540.0233529753608,711,
37,81,2023-02-04,approved,996.8842586605779,759,
38,12,2023-02-23,approved,942.0781513073363,757,
39,34,2023-02-18,declined,,533,high_risk_score
