loan_id,customer_id,application_id,origination_date,principal,term_months,apr,origination_fee_rate,origination_fee_amount,merchant_category,loan_status,default_date,principal_paid_total,outstanding_principal_end,orig_month,default_month
1,15,1,2023-01-30,843.6970024510069,6,0.11822601269376176,0.003084464296929225,2.6,fashion,paid_off,,843.7,-0.0,2023-01-01,
2,43,4,2023-01-30,328.59591619982666,4,0.19870021727927858,0.01474091462287114,4.84,home_goods,paid_off,,328.6,-0.0,2023-01-01,
3,22,5,2023-01-16,194.59260931002453,6,0.20549427411139048,0.01670368653714511,3.25,groceries,paid_off,,194.59,0.0,2023-01-01,
4,15,6,2023-01-26,1072.4012916665354,4,0.12399185667119082,0.006953676700232985,7.46,home_goods,paid_off,,1072.4,0.0,2023-01-01,
5,18,7,2023-01-23,363.8997599840364,4,0.11675020818967478,0.006743732269592598,2.45,fashion,paid_off,,363.9,-0.0,2023-01-01,
6,39,8,2023-01-20,365.40888596799135,4,0.19554551026455633,0.017437350569979332,6.37,home_goods,paid_off,,365.41,-0.0,2023-01-01,
7,1,9,2023-01-25,405.971151264061,4,0.14614137163646598,0.015366299459821629,6.24,groceries,paid_off,,405.97,0.0,2023-01-01,
8,4,10,2023-01-06,894.0349150230842,4,0.11812338567133268,0.004304409554008462,3.85,services,paid_off,,894.03,0.0,2023-01-01,
9,42,12,2023-01-26,864.1296672490915,12,0.11042893715766829,0.005537942123146754,4.79,services,paid_off,,864.13,-0.0,2023-01-01,
10,25,13,2023-01-15,1129.760988585037,4,0.1466396164154355,0.01121299016542888,12.67,travel,paid_off,,1129.76,0.0,2023-01-01,
11,8,14,2023-01-11,821.8216242789725,4,0.12212557773257379,0.005770356029652241,4.74,auto,defaulted,2023-07-10,406.75,415.07,2023-01-01,2023-07-01
12,23,16,2023-01-12,408.9318997719074,4,0.1517408398422368,0.01107080874147383,4.53,education,paid_off,,408.93,0.0,2023-01-01,
13,24,18,2023-01-15,523.820689241853,4,0.10627746271041284,0.0029397367588045284,1.54,electronics,active,,472.22,51.6,2023-01-01,
14,43,19,2023-01-31,423.4839634721831,4,0.19579628936301563,0.014394643798568403,6.1,travel,paid_off,,423.48,0.0,2023-01-01,
15,4,20,2023-01-27,871.3815142349987,4,0.131676548822372,0.002435742706251931,2.12,electronics,paid_off,,871.38,0.0,2023-01-01,
16,19,23,2023-01-20,861.64006674849,6,0.10481735079994442,0.004766214603426305,4.11,education,paid_off,,861.64,0.0,2023-01-01,
17,74,24,2023-02-13,1364.6641142096887,4,0.1102947233671219,0.003976339550238222,5.43,fashion,paid_off,,1364.66,0.0,2023-02-01,
