payment_id,loan_id,payment_date,payment_amount,paid_principal,paid_fee_interest,payment_type
1,1,2023-03-01,145.5,137.19,8.31,scheduled
2,1,2023-03-30,145.5,138.54,6.96,scheduled
3,1,2023-05-02,145.51,139.91,5.6,scheduled
4,1,2023-06-20,145.51,141.29,4.22,scheduled
5,1,2023-07-03,145.51,142.68,2.83,scheduled
6,1,2023-08-02,145.51,144.09,1.42,scheduled
7,2,2023-03-03,85.58,80.14,5.44,scheduled
8,2,2023-03-29,85.57,81.46,4.11,scheduled
9,2,2023-07-16,85.58,82.81,2.77,scheduled
10,2,2023-06-02,85.58,84.19,1.39,scheduled
11,3,2023-03-15,34.4,31.07,3.33,scheduled
12,3,2023-03-20,34.4,31.6,2.8,scheduled
13,3,2023-04-16,34.4,32.14,2.26,scheduled
14,3,2023-05-20,34.4,32.69,1.71,scheduled
15,3,2023-06-14,34.4,33.25,1.15,scheduled
16,3,2023-07-19,34.42,33.84,0.58,scheduled
17,4,2023-03-01,275.06,263.98,11.08,scheduled
18,4,2023-05-30,275.06,266.71,8.35,scheduled
19,4,2023-04-29,275.06,269.46,5.6,scheduled
20,4,2023-05-26,275.06,272.25,2.81,scheduled
21,5,2023-02-24,93.2,89.66,3.54,scheduled
22,5,2023-03-22,93.2,90.53,2.67,scheduled
23,5,2023-04-26,93.2,91.41,1.79,scheduled
24,5,2023-05-22,93.2,92.3,0.9,scheduled
25,6,2023-02-19,95.1,89.15,5.95,scheduled
26,6,2023-03-22,95.1,90.6,4.5,scheduled
27,6,2023-04-18,95.11,92.08,3.03,scheduled
28,6,2023-05-23,95.1,93.58,1.52,scheduled
29,7,2023-02-28,104.6,99.66,4.94,scheduled
30,7,2023-03-30,104.6,100.87,3.73,scheduled
31,7,2023-04-30,104.6,102.1,2.5,scheduled
32,7,2023-05-30,104.6,103.34,1.26,scheduled
33,8,2023-02-09,229.04,220.24,8.8,scheduled
34,8,2023-03-05,229.03,222.4,6.63,scheduled
35,8,2023-04-06,229.03,224.59,4.44,scheduled
36,8,2023-05-06,229.03,226.8,2.23,scheduled
37,9,2023-02-24,76.39,68.44,7.95,scheduled
38,9,2023-04-24,76.39,69.07,7.32,scheduled
39,9,2023-04-27,76.39,69.7,6.69,scheduled
40,9,2023-05-26,76.4,70.35,6.05,scheduled
41,9,2023-06-27,76.39,70.99,5.4,scheduled
42,9,2023-07-27,76.39,71.65,4.74,scheduled
43,9,2023-08-25,76.4,72.31,4.09,scheduled
44,9,2023-09-27,76.39,72.97,3.42,scheduled
45,9,2023-10-24,76.39,73.64,2.75,scheduled
46,9,2024-02-04,76.39,74.32,2.07,scheduled
47,9,2023-12-29,76.39,75.0,1.39,scheduled
48,9,2024-01-25,76.39,75.69,0.7,scheduled
49,10,2023-02-15,291.13,277.32,13.81,scheduled
50,10,2023-03-18,291.12,280.7,10.42,scheduled
51,10,2023-04-15,291.12,284.13,6.99,scheduled
52,10,2023-05-15,291.12,287.61,3.51,scheduled
53,11,2023-02-15,210.71,202.35,8.36,scheduled
54,11,2023-03-14,210.7,204.4,6.3,scheduled
55,12,2023-02-17,105.48,100.31,5.17,scheduled
56,12,2023-03-12,105.48,101.58,3.9,scheduled
57,12,2023-04-28,105.49,102.87,2.62,scheduled
58,12,2023-05-13,105.49,104.17,1.32,scheduled
59,13,2023-02-19,133.87,129.23,4.64,scheduled
60,13,2023-03-16,133.86,130.37,3.49,scheduled
61,13,2023-04-24,82.27,79.93,2.34,partial
62,13,2023-05-13,133.87,132.69,1.18,scheduled
63,14,2023-02-27,110.22,103.31,6.91,scheduled
64,14,2023-04-03,110.22,105.0,5.22,scheduled
65,14,2023-04-28,110.22,106.71,3.51,scheduled
66,14,2023-05-29,110.23,108.46,1.77,scheduled
67,15,2023-02-27,223.85,214.29,9.56,scheduled
68,15,2023-03-25,223.85,216.64,7.21,scheduled
69,15,2023-04-29,223.85,219.02,4.83,scheduled
70,15,2023-05-25,223.86,221.43,2.43,scheduled
71,16,2023-02-24,148.03,140.5,7.53,scheduled
72,16,2023-03-18,148.03,141.73,6.3,scheduled
73,16,2023-04-19,148.03,142.97,5.06,scheduled
74,16,2023-05-18,148.03,144.22,3.81,scheduled
75,16,2023-06-22,148.03,145.48,2.55,scheduled
76,16,2023-08-02,148.02,146.74,1.28,scheduled
77,17,2023-06-04,349.04,336.5,12.54,scheduled
78,17,2023-04-14,349.04,339.59,9.45,scheduled
79,17,2023-05-16,349.04,342.71,6.33,scheduled
80,17,2023-06-12,349.04,345.86,3.18,scheduled
81,18,2023-04-19,137.65,125.86,11.79,partial
82,18,2023-04-26,209.86,199.98,9.88,scheduled
83,18,2023-05-26,209.86,201.92,7.94,scheduled
84,18,2023-07-14,209.86,203.88,5.98,scheduled
85,18,2023-07-26,209.86,205.85,4.01,scheduled
86,18,2023-08-23,209.85,207.84,2.01,scheduled
87,19,2023-03-15,96.75,93.32,3.43,scheduled
88,19,2023-04-17,96.74,94.16,2.58,scheduled
